State,Total_2023
ANDHRA PRADESH,22418
ARUNACHAL PRADESH,326
ASSAM,12070
BIHAR,22952
CHHATTISGARH,8035
GOA,286
GUJARAT,7805
HARYANA,15758
HIMACHAL PRADESH,1604
JHARKHAND,6989
KARNATAKA,20336
KERALA,16025
MADHYA PRADESH,32342
MAHARASHTRA,47101
MANIPUR,201
MEGHALAYA,628
MIZORAM,184
NAGALAND,56
ODISHA,25914
PUNJAB,5258
RAJASTHAN,45450
SIKKIM,134
TAMIL NADU,8943
TELANGANA,23678
TRIPURA,791
UTTAR PRADESH,66381
UTTARAKHAND,3808
WEST BENGAL,34691
ANDAMAN AND NICOBAR ISLANDS,205
CHANDIGARH,371
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,124
DELHI,13439
JAMMU AND KASHMIR,3653
LADAKH,20
LAKSHADWEEP,23
PUDUCHERRY,212
