State,Blackmailing,Pornography,Stalking,Morphing,Fake_Profile,Other_Cyber,Total_Cyber
ANDHRA PRADESH,10,68,151,1,0,329,559
ARUNACHAL PRADESH,0,0,0,0,0,4,4
ASSAM,11,97,2,74,0,285,469
BIHAR,31,20,75,9,40,469,644
CHHATTISGARH,3,195,0,0,0,44,242
GOA,1,8,0,0,0,19,28
GUJARAT,9,45,43,0,0,356,453
HARYANA,6,96,39,1,0,240,382
HIMACHAL PRADESH,0,21,2,0,0,17,40
JHARKHAND,0,12,7,0,0,1,20
KARNATAKA,0,457,4,1,0,6540,7002
KERALA,5,333,51,2,29,402,822
MADHYA PRADESH,12,38,68,2,0,193,313
MAHARASHTRA,18,40,415,0,23,2006,2502
MANIPUR,0,0,0,0,0,6,6
MEGHALAYA,0,9,0,1,0,19,29
MIZORAM,0,0,0,0,0,0,0
NAGALAND,0,1,0,0,0,0,1
ODISHA,0,358,0,403,0,0,761
PUNJAB,7,27,14,2,1,76,127
RAJASTHAN,10,212,97,0,3,199,521
SIKKIM,0,4,0,0,0,4,8
TAMIL NADU,14,76,27,1,0,944,1062
TELANGANA,38,78,295,2,2,1032,1447
TRIPURA,0,13,0,0,0,1,14
UTTAR PRADESH,92,389,18,2,2,960,1463
UTTARAKHAND,26,51,7,0,0,60,144
WEST BENGAL,3,6,23,0,0,144,176
ANDAMAN AND NICOBAR ISLANDS,2,27,0,0,0,8,37
CHANDIGARH,0,5,1,0,0,11,17
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,0,3,0,0,0,0,3
DELHI,6,28,18,0,2,81,135
JAMMU AND KASHMIR,0,39,1,4,0,24,68
LADAKH,0,0,0,0,0,0,0
LAKSHADWEEP,0,1,0,0,0,0,1
PUDUCHERRY,0,10,0,0,0,0,10
