CRIME HEAD,Year,Cases
Rape,2001,16075
Kidnapping,2001,14645
Dowry Death,2001,6851
Assault,2001,34124
Insult to Modesty,2001,9746
Cruelty (498A),2001,49170
Importation of Girls,2001,114
Immoral Traffic,2001,8796
Dowry Prohibition,2001,3222
Indecent Representation,2001,1052
Rape,2002,16373
Kidnapping,2002,14506
Dowry Death,2002,6822
Assault,2002,33943
Insult to Modesty,2002,10155
Cruelty (498A),2002,49237
Importation of Girls,2002,76
Immoral Traffic,2002,6598
Dowry Prohibition,2002,2816
Indecent Representation,2002,2508
Rape,2003,15847
Kidnapping,2003,13296
Dowry Death,2003,6208
Assault,2003,32939
Insult to Modesty,2003,12325
Cruelty (498A),2003,50703
Importation of Girls,2003,46
Immoral Traffic,2003,5510
Dowry Prohibition,2003,2684
Indecent Representation,2003,1043
Rape,2004,18233
Kidnapping,2004,15578
Dowry Death,2004,7026
Assault,2004,34567
Insult to Modesty,2004,10001
Cruelty (498A),2004,58121
Importation of Girls,2004,89
Immoral Traffic,2004,5748
Dowry Prohibition,2004,3592
Indecent Representation,2004,1378
Rape,2005,18359
Kidnapping,2005,15750
Dowry Death,2005,6787
Assault,2005,34175
Insult to Modesty,2005,9984
Cruelty (498A),2005,58319
Importation of Girls,2005,149
Immoral Traffic,2005,5908
Dowry Prohibition,2005,3204
Indecent Representation,2005,2917
Rape,2006,19348
Kidnapping,2006,17414
Dowry Death,2006,7618
Assault,2006,36617
Insult to Modesty,2006,9966
Cruelty (498A),2006,63128
Importation of Girls,2006,67
Immoral Traffic,2006,4541
Dowry Prohibition,2006,4504
Indecent Representation,2006,1562
Rape,2007,20737
Kidnapping,2007,20416
Dowry Death,2007,8093
Assault,2007,38734
Insult to Modesty,2007,10950
Cruelty (498A),2007,75930
Importation of Girls,2007,61
Immoral Traffic,2007,3568
Dowry Prohibition,2007,5623
Indecent Representation,2007,1200
Rape,2008,21467
Kidnapping,2008,22939
Dowry Death,2008,8172
Assault,2008,40413
Insult to Modesty,2008,12214
Cruelty (498A),2008,81344
Importation of Girls,2008,67
Immoral Traffic,2008,2660
Dowry Prohibition,2008,5555
Indecent Representation,2008,1025
Rape,2009,21397
Kidnapping,2009,25741
Dowry Death,2009,8383
Assault,2009,38711
Insult to Modesty,2009,11009
Cruelty (498A),2009,89546
Importation of Girls,2009,48
Immoral Traffic,2009,2474
Dowry Prohibition,2009,5650
Indecent Representation,2009,845
Rape,2010,22172
Kidnapping,2010,29795
Dowry Death,2010,8391
Assault,2010,40613
Insult to Modesty,2010,9961
Cruelty (498A),2010,94041
Importation of Girls,2010,36
Immoral Traffic,2010,2499
Dowry Prohibition,2010,5182
Indecent Representation,2010,895
Rape,2011,24206
Kidnapping,2011,35565
Dowry Death,2011,8618
Assault,2011,42968
Insult to Modesty,2011,8570
Cruelty (498A),2011,99135
Importation of Girls,2011,80
Immoral Traffic,2011,2435
Dowry Prohibition,2011,6619
Indecent Representation,2011,453
Rape,2012,24923
Kidnapping,2012,38262
Dowry Death,2012,8233
Assault,2012,45351
Insult to Modesty,2012,9173
Cruelty (498A),2012,106527
Importation of Girls,2012,59
Immoral Traffic,2012,2563
Dowry Prohibition,2012,9038
Indecent Representation,2012,141
Rape,2013,33707
Kidnapping,2013,51881
Dowry Death,2013,8233
Assault,2013,70739
Insult to Modesty,2013,12589
Cruelty (498A),2013,118866
Importation of Girls,2013,31
Immoral Traffic,2013,2579
Dowry Prohibition,2013,10709
Indecent Representation,2013,362
Rape,2014,36735
Kidnapping,2014,57311
Dowry Death,2014,8455
Assault,2014,82235
Insult to Modesty,2014,9735
Cruelty (498A),2014,122877
Importation of Girls,2014,13
Immoral Traffic,2014,2617
Dowry Prohibition,2014,10050
Indecent Representation,2014,47
Rape,2015,34651
Kidnapping,2015,59277
Dowry Death,2015,7634
Assault,2015,82422
Insult to Modesty,2015,8685
Cruelty (498A),2015,123403
Importation of Girls,2015,6
Immoral Traffic,2015,2641
Dowry Prohibition,2015,9894
Indecent Representation,2015,40
Rape,2016,38947
Kidnapping,2016,64519
Dowry Death,2016,7621
Assault,2016,84746
Insult to Modesty,2016,7305
Cruelty (498A),2016,110378
Importation of Girls,2016,12
Immoral Traffic,2016,2337
Dowry Prohibition,2016,9683
Indecent Representation,2016,38
Rape,2017,32559
Kidnapping,2017,66333
Dowry Death,2017,7466
Assault,2017,86001
Insult to Modesty,2017,7451
Cruelty (498A),2017,104551
Importation of Girls,2017,5
Immoral Traffic,2017,2127
Dowry Prohibition,2017,10189
Indecent Representation,2017,25
Rape,2018,33356
Kidnapping,2018,72751
Dowry Death,2018,7167
Assault,2018,89097
Insult to Modesty,2018,6992
Cruelty (498A),2018,103272
Importation of Girls,2018,4
Immoral Traffic,2018,1882
Dowry Prohibition,2018,12826
Indecent Representation,2018,22
Rape,2019,32033
Kidnapping,2019,72780
Dowry Death,2019,7115
Assault,2019,88367
Insult to Modesty,2019,6939
Cruelty (498A),2019,125298
Importation of Girls,2019,3
Immoral Traffic,2019,1645
Dowry Prohibition,2019,13297
Indecent Representation,2019,23
Rape,2020,28046
Kidnapping,2020,62300
Dowry Death,2020,6966
Assault,2020,85392
Insult to Modesty,2020,7065
Cruelty (498A),2020,111549
Importation of Girls,2020,1
Immoral Traffic,2020,1294
Dowry Prohibition,2020,10366
Indecent Representation,2020,12
Rape,2021,31677
Kidnapping,2021,75369
Dowry Death,2021,6753
Assault,2021,89200
Insult to Modesty,2021,7788
Cruelty (498A),2021,136234
Importation of Girls,2021,2
Immoral Traffic,2021,1678
Dowry Prohibition,2021,13568
Indecent Representation,2021,28
Rape,2022,31516
Kidnapping,2022,85310
Dowry Death,2022,6450
Assault,2022,83344
Insult to Modesty,2022,8972
Cruelty (498A),2022,140019
Importation of Girls,2022,1
Immoral Traffic,2022,1497
Dowry Prohibition,2022,13479
Indecent Representation,2022,28
