Sl. No.,State/UT,"Cyber Blackmailing/ Threatening (Sec.506, 503, 384 IPC r/w IT
Act)",Cyber Pornography/ Hosting/ Publishing Obscene Sexual Materials (Sec.67A/67B(Girl Child) of IT act r/w other IPC/SLL),"Cyber Stalking/ Cyber Bullying of Women (Sec.354D
IPC r/w IT Act)","Defamation/ Morphing (Sec.469 IPC
r/w IPC and Indecent Rep. of Women (P) Act and IT Act)",Fake Profile (IT Act r/w IPC/SLL),Other Crimes against Women,Total Cyber Crimes against Women
1,Andhra Pradesh,10,68,151,1,0,329,559
2,Arunachal Pradesh,0,0,0,0,0,4,4
3,Assam,11,97,2,74,0,285,469
4,Bihar,31,20,75,9,40,469,644
5,Chhattisgarh,3,195,0,0,0,44,242
6,Goa,1,8,0,0,0,19,28
7,Gujarat,9,45,43,0,0,356,453
8,Haryana,6,96,39,1,0,240,382
9,Himachal Pradesh,0,21,2,0,0,17,40
10,Jharkhand,0,12,7,0,0,1,20
11,Karnataka,0,457,4,1,0,6540,7002
12,Kerala,5,333,51,2,29,402,822
13,Madhya Pradesh,12,38,68,2,0,193,313
14,Maharashtra,18,40,415,0,23,2006,2502
15,Manipur,0,0,0,0,0,6,6
16,Meghalaya,0,9,0,1,0,19,29
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,1,0,0,0,0,1
19,Odisha,0,358,0,403,0,0,761
20,Punjab,7,27,14,2,1,76,127
21,Rajasthan,10,212,97,0,3,199,521
22,Sikkim,0,4,0,0,0,4,8
23,Tamil Nadu,14,76,27,1,0,944,1062
24,Telangana,38,78,295,2,2,1032,1447
25,Tripura,0,13,0,0,0,1,14
26,Uttar Pradesh,92,389,18,2,2,960,1463
27,Uttarakhand,26,51,7,0,0,60,144
28,West Bengal,3,6,23,0,0,144,176
Total State(S),Total State(S),296,2654,1338,501,100,14350,19239
29,Andaman and Nicobar Islands,2,27,0,0,0,8,37
30,Chandigarh,0,5,1,0,0,11,17
31,Dadra and Nagar Haveli and Daman and Diu,0,3,0,0,0,0,3
32,Delhi,6,28,18,0,2,81,135
33,Jammu and Kashmir,0,39,1,4,0,24,68
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,1,0,0,0,0,1
36,Puducherry,0,10,0,0,0,0,10
Total UT (S),Total UT (S),8,113,20,4,2,124,271
Total All India,Total All India,304,2767,1358,505,102,14474,19510
